longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,ocean_proximity,median_house_value
-122.68,38.46,15,1811,406,718,403,2.3929,<1H OCEAN,141300
-117.92,33.92,19,2181,400,1272,337,5.1952,<1H OCEAN,302100
-118.39,34.23,43,1193,299,1184,320,2.1518,<1H OCEAN,161600
-118.31,33.95,44,2490,430,1305,411,4.8295,<1H OCEAN,149600
-118.08,33.85,22,1055,204,682,216,6,<1H OCEAN,191300
-118.05,34.08,25,4909,1422,4983,1293,2.7254,<1H OCEAN,143500
-118.16,33.85,36,1979,339,952,339,4.0815,<1H OCEAN,216200
-118.45,34.19,11,2479,900,2466,855,2.2264,<1H OCEAN,181300
-118.31,33.99,44,1703,358,789,249,1.7083,<1H OCEAN,100000
-117.01,32.79,31,3776,815,1886,799,3.4421,<1H OCEAN,155300
-117.66,33.62,16,5175,799,2717,813,6.1493,<1H OCEAN,257800
-118.55,34.39,16,8726,1317,3789,1279,6.8419,<1H OCEAN,323300
-116.9,32.79,21,3770,491,1410,446,6.7685,<1H OCEAN,294700
-122,37.34,27,1716,290,817,301,5.9158,<1H OCEAN,343100
-118.31,33.96,48,2015,356,1020,338,4.0625,<1H OCEAN,138700
-117.89,33.78,16,6352,1747,5085,1649,2.8835,<1H OCEAN,193800
-118.13,34.09,21,3862,1186,2773,1102,2.7816,<1H OCEAN,188200
-118.12,33.91,36,2053,386,1023,394,3,<1H OCEAN,216600
-118.62,34.22,33,1636,275,866,289,5.6356,<1H OCEAN,241300
-116.83,32.83,6,3123,495,1513,480,5.4288,<1H OCEAN,167800
-121.97,37.54,28,2312,496,1344,467,4.7135,<1H OCEAN,203200
-121.82,37.26,10,3030,574,1623,589,5.1356,<1H OCEAN,218700
-122.76,38.46,14,4742,756,2149,732,4.5152,<1H OCEAN,199200
-118.1,34.07,36,1240,349,1383,338,2.4931,<1H OCEAN,170300
-117.81,33.63,17,4477,610,1798,612,8.1093,<1H OCEAN,410400
-116.99,32.74,17,3101,547,1410,486,3.1771,<1H OCEAN,189900
-118.37,34.08,52,1234,223,543,213,6.0338,<1H OCEAN,423700
-117.9,33.92,27,698,116,391,126,5.9177,<1H OCEAN,267600
-122.59,38.13,20,1589,231,601,224,5.3755,<1H OCEAN,290900
-118.49,34.07,36,2929,366,1054,352,13.5728,<1H OCEAN,500001
-118.37,34.09,38,1349,344,547,309,3.2159,<1H OCEAN,383300
-122.02,37.24,28,2796,365,1085,363,10.6834,<1H OCEAN,500001
-118.42,34.01,42,1700,438,997,436,2.9213,<1H OCEAN,305000
-117.98,33.68,24,4177,,1704,606,6.2473,<1H OCEAN,281900
-121.84,36.61,15,2190,586,1570,510,1.875,<1H OCEAN,122300
-117.9,33.77,35,2002,378,1726,387,3.9613,<1H OCEAN,182300
-118.37,33.85,34,2415,404,1278,414,6.1599,<1H OCEAN,341200
-118.79,34.27,27,1146,189,595,197,4.5833,<1H OCEAN,198500
-118.46,34.07,43,2511,456,808,407,6.7703,<1H OCEAN,500001
-118.15,34.08,44,1053,251,941,256,3.125,<1H OCEAN,205600
-117.99,33.85,34,1948,306,957,304,4.9777,<1H OCEAN,212600
-117.89,33.77,35,1799,343,1239,368,3.9219,<1H OCEAN,189600
-117.93,34.04,23,6361,1168,4580,1109,4.9342,<1H OCEAN,181000
-118.38,34.08,48,1226,288,370,264,3.9375,<1H OCEAN,450000
-117.94,33.71,18,3695,602,1779,572,5.9449,<1H OCEAN,276500
-119.03,34.24,25,3655,545,1776,544,5.687,<1H OCEAN,238100
-122,37.58,6,4405,717,2071,688,5.8151,<1H OCEAN,295600
-118.49,34.03,31,4949,1293,1985,1244,4.252,<1H OCEAN,436700
-118.41,33.93,38,3328,625,1455,619,5.0596,<1H OCEAN,363900
-118.01,33.92,35,1606,289,829,273,5.273,<1H OCEAN,187600
-117.05,32.8,16,1561,378,574,350,3.0035,<1H OCEAN,94600
-121.7,36.6,19,3562,530,1607,505,5.0162,<1H OCEAN,283100
-119.73,34.45,44,2261,328,763,294,6.7449,<1H OCEAN,415600
-116.94,32.87,24,2824,441,1480,471,5.2614,<1H OCEAN,177200
-117.04,33.01,28,922,107,314,97,8.4721,<1H OCEAN,342300
-118.14,34.03,45,1569,359,1203,359,2.4612,<1H OCEAN,180500
-122.03,37.34,25,5404,906,2338,883,6.0577,<1H OCEAN,451800
-121.9,37.34,52,241,69,385,64,2.619,<1H OCEAN,212500
-117.91,34.07,36,1390,270,887,266,5.0897,<1H OCEAN,189000
-118.33,34.07,52,1482,171,531,161,15.0001,<1H OCEAN,500001
-118.3,33.88,29,850,229,563,204,3.7375,<1H OCEAN,247700
-122.05,37.38,23,3200,907,2029,866,3.5649,<1H OCEAN,450000
-117.9,33.88,35,2062,353,991,357,5.2897,<1H OCEAN,230400
-118.34,34.05,39,975,292,723,285,2.2725,<1H OCEAN,140600
-118.25,33.93,27,581,135,647,131,3.2917,<1H OCEAN,83100
-118.36,33.99,45,2005,368,909,364,4.6406,<1H OCEAN,268900
-118.17,33.97,33,2410,641,2106,593,2.2422,<1H OCEAN,168200
-117.95,33.95,29,4943,674,1913,641,6.8189,<1H OCEAN,379300
-118.26,34.24,35,1666,280,788,273,6.6277,<1H OCEAN,344400
-118.43,34.25,32,2433,553,2318,532,3.6384,<1H OCEAN,159300
-118.58,34.18,28,908,142,368,143,5.6159,<1H OCEAN,340500
-118.22,33.84,35,1131,273,1007,269,4.0219,<1H OCEAN,168300
-121.87,37.35,37,1566,375,1223,346,3.2793,<1H OCEAN,174500
-118.25,34.09,52,2050,429,957,418,3.5603,<1H OCEAN,210000
-117.1,33.14,7,10665,2576,4917,2424,2.3171,<1H OCEAN,159500
-118,33.76,12,1250,331,1047,334,3.0625,<1H OCEAN,208800
-118.12,34.08,49,1782,374,1010,367,3.1583,<1H OCEAN,268200
-117.82,33.81,25,2662,402,1247,401,5.4395,<1H OCEAN,244000
-121.89,37.45,15,2428,513,1687,519,4.75,<1H OCEAN,254400
-117.92,33.78,35,1654,323,1065,354,3.4837,<1H OCEAN,186500
-118.27,33.81,10,1881,571,1769,553,3.9286,<1H OCEAN,114000
-118.25,34.23,41,1979,496,1157,459,4.4083,<1H OCEAN,217700
-121.96,37.81,12,6488,778,2404,765,8.3188,<1H OCEAN,403400
-118.28,34.01,34,2305,775,2450,740,1.7143,<1H OCEAN,132000
-117.18,33.51,13,270,42,120,42,6.993,<1H OCEAN,500001
-118.14,34.01,42,1007,277,1060,268,3.0179,<1H OCEAN,153700
-117.99,34,26,2988,397,1371,415,6.6988,<1H OCEAN,382500
-121.89,37.23,16,3574,466,1503,487,8.1988,<1H OCEAN,355900
-119.7,34.43,52,977,289,412,272,2.125,<1H OCEAN,300000
-118.48,34.16,32,2108,309,769,274,8.7172,<1H OCEAN,500001
-118.75,34.33,27,534,85,243,77,8.2787,<1H OCEAN,330000
-118.14,33.92,31,3731,853,2313,801,3.2237,<1H OCEAN,218200
-118.29,33.94,47,1782,338,1003,329,2.5398,<1H OCEAN,105700
-117.08,33.11,28,2094,585,1556,563,2.2,<1H OCEAN,127700
-118.44,34.03,25,2059,659,1349,588,3.2396,<1H OCEAN,352400
-119.7,34.47,32,3725,569,1304,527,7.7261,<1H OCEAN,500001
-122.73,38.34,44,743,155,434,162,2.5819,<1H OCEAN,209600
-123.2,39.16,14,1908,484,1195,467,1.7929,<1H OCEAN,82300
-117.04,32.97,13,6711,1256,3683,1220,4.5746,<1H OCEAN,175700
-121.94,37.24,35,1484,244,664,238,4.675,<1H OCEAN,245300
-117.13,32.91,15,1450,266,747,290,3.6111,<1H OCEAN,196300
-118.96,34.23,14,15207,2924,6301,2829,3.9699,<1H OCEAN,217000
-117.1,33,5,15502,2613,7417,2358,5.9094,<1H OCEAN,261100
-118.34,34.15,16,1586,377,625,344,4.0893,<1H OCEAN,450000
-121.88,37.34,52,1390,365,921,352,2.1442,<1H OCEAN,188900
-117.24,33.22,20,1962,334,1173,349,4.1316,<1H OCEAN,162500
-118.08,33.85,19,4261,678,2621,661,6.2427,<1H OCEAN,288700
-118.12,33.96,36,1426,235,698,240,4.8523,<1H OCEAN,267300
-118.37,33.95,32,1067,286,1053,277,2.8438,<1H OCEAN,181700
-121.82,37.24,20,3671,567,1944,589,6.0538,<1H OCEAN,241000
-121.83,37.29,20,1649,408,1729,362,3.3833,<1H OCEAN,115200
-118.2,33.9,34,1552,444,2093,413,2.2125,<1H OCEAN,103200
-118.34,33.95,33,1923,459,1412,361,5.4359,<1H OCEAN,194100
-117.01,32.85,23,2592,414,1401,431,5.4903,<1H OCEAN,151400
-118.2,34.05,8,762,204,728,174,2.4886,<1H OCEAN,137500
-118.36,33.89,37,1719,426,1266,424,3.375,<1H OCEAN,228000
-118.23,33.93,37,239,49,308,52,1.4028,<1H OCEAN,105400
-118.11,33.8,36,1680,291,744,280,4.66,<1H OCEAN,244800
-117.89,33.88,27,2091,336,1037,332,5.7519,<1H OCEAN,243400
-121.65,36.67,28,1926,556,1717,535,1.9385,<1H OCEAN,123200
-122.73,38.37,40,1389,309,841,288,3.1094,<1H OCEAN,183300
-118.21,34.03,47,876,228,872,231,2.2656,<1H OCEAN,145000
-118.46,33.99,35,1214,300,478,265,4.0156,<1H OCEAN,500001
-118.28,34.18,47,2243,339,911,319,7.4046,<1H OCEAN,446800
-118.19,33.94,45,1871,371,1315,382,3.3661,<1H OCEAN,160800
-117.84,33.79,34,2590,603,1658,608,2.378,<1H OCEAN,199600
-118.24,34.15,17,5282,1605,4116,1574,3.052,<1H OCEAN,209800
-118.15,34.03,44,603,207,588,218,2.0536,<1H OCEAN,186400
-118.31,34.1,33,766,347,918,305,1.705,<1H OCEAN,350000
-118.03,33.79,26,5321,889,2932,896,5.8914,<1H OCEAN,237600
-117.97,33.65,26,2379,336,988,346,5.3674,<1H OCEAN,339300
-117.89,33.9,23,1533,226,693,230,7.898,<1H OCEAN,258200
-122.88,38.46,25,1563,314,737,305,2.5687,<1H OCEAN,249200
-119.67,34.38,28,1814,526,849,420,3.1625,<1H OCEAN,364300
-118.09,33.79,31,4231,617,1694,623,6.6312,<1H OCEAN,360100
-118.31,34.13,40,2822,443,907,414,7.2692,<1H OCEAN,498700
-118.08,33.96,35,2104,399,1659,387,4.0096,<1H OCEAN,165000
-118.01,33.84,28,4097,838,2112,803,4.5,<1H OCEAN,202100
-117.95,33.85,13,6963,1426,3892,1375,4.1325,<1H OCEAN,203500
-118.52,34.26,21,8850,2139,4717,1979,3.7816,<1H OCEAN,254200
-117.81,33.75,23,3498,636,1574,642,5.021,<1H OCEAN,252200
-121.93,37.32,51,2711,728,1607,724,3,<1H OCEAN,184700
-121.94,37.76,4,6875,1439,2889,1307,4.6932,<1H OCEAN,356100
-117.71,33.52,17,2486,417,876,361,6.1007,<1H OCEAN,340900
-118.34,33.8,33,2194,469,987,397,5.0951,<1H OCEAN,318900
-117.94,33.84,28,604,207,615,212,3.6214,<1H OCEAN,182100
-118.04,33.85,18,3628,546,1922,544,7.5057,<1H OCEAN,328500
-122.81,38.46,28,3580,611,1634,567,4.745,<1H OCEAN,248600
-119.09,34.35,20,4725,881,2823,869,4.0122,<1H OCEAN,214800
-118.21,33.99,39,47,16,51,23,3.2188,<1H OCEAN,112500
-121.81,37.35,29,2396,452,2000,481,4.375,<1H OCEAN,185500
-118.12,34.01,33,1956,478,1472,464,1.9867,<1H OCEAN,166300
-118.3,33.94,36,2041,531,1390,464,2.0114,<1H OCEAN,99300
-116.94,32.78,17,13559,2656,6990,2533,3.434,<1H OCEAN,193200
-121.8,37.34,20,2686,414,1507,405,5.8068,<1H OCEAN,263900
-118.36,34.21,41,337,65,198,50,1.8929,<1H OCEAN,152900
-117.91,33.85,22,1178,289,865,294,3.025,<1H OCEAN,180000
-117.93,33.87,45,1006,230,1237,237,3.3472,<1H OCEAN,168000
-117.95,33.68,26,2249,344,1311,373,5.0287,<1H OCEAN,265000
-117.9,34.13,5,1126,316,819,311,1.5,<1H OCEAN,139800
-119.61,34.43,16,2665,391,794,311,9.0267,<1H OCEAN,500001
-118.44,34.05,15,5368,1312,2269,1232,5.7097,<1H OCEAN,316700
-122.66,38.46,14,2364,631,1300,625,2.6023,<1H OCEAN,221100
-118.41,34.21,35,2215,459,1594,446,4.0167,<1H OCEAN,193200
-117.92,33.82,10,1548,506,1535,424,4.5057,<1H OCEAN,152400
-118.4,34.23,37,1404,266,889,274,4.0049,<1H OCEAN,190000
-118.27,34.05,25,1316,836,2796,784,1.7866,<1H OCEAN,325000
-117.13,32.96,15,2267,292,1180,289,6.712,<1H OCEAN,240200
-118.44,34,44,1798,353,835,314,4.75,<1H OCEAN,355800
-120.61,35.1,17,2799,637,2015,592,3.0536,<1H OCEAN,143600
-118.18,34.2,44,1473,250,668,239,8.72,<1H OCEAN,415900
-118.49,34.16,37,3333,488,1171,485,6.4958,<1H OCEAN,500001
-118.07,33.89,32,1819,386,1679,360,3.5562,<1H OCEAN,146000
-122.59,38.58,18,3753,752,1454,668,3.7585,<1H OCEAN,185700
-118.01,33.91,32,2722,571,2541,462,4.2305,<1H OCEAN,221400
-117.07,33.13,33,555,165,612,176,2.1786,<1H OCEAN,137500
-121.8,36.68,18,8581,1957,6071,1889,3,<1H OCEAN,162200
-117.86,33.88,19,1621,328,871,322,3.7361,<1H OCEAN,201400
-118.35,33.94,42,1028,278,1369,261,3.3125,<1H OCEAN,144600
-117.99,33.86,20,2303,612,1607,564,2.9,<1H OCEAN,176100
-118.06,33.91,21,2863,701,1489,621,3.2031,<1H OCEAN,180700
-118.25,34.06,12,4011,1438,1673,1088,5.3081,<1H OCEAN,287500
-120.43,34.98,21,2725,514,1466,488,3.6639,<1H OCEAN,128600
-118.55,34.26,21,4018,536,1508,529,8.203,<1H OCEAN,445400
-122.76,38.44,11,2895,524,1633,534,4.7283,<1H OCEAN,170200
-118.48,34.14,31,9320,1143,2980,1109,10.3599,<1H OCEAN,500001
-117.68,33.48,15,1786,299,727,293,5.0527,<1H OCEAN,231400
-118.18,33.99,38,1010,315,1157,301,1.6341,<1H OCEAN,161800
-118.3,34.08,34,1562,651,1774,559,1.5685,<1H OCEAN,225000
-118.51,34.22,36,2794,523,1334,472,4.3462,<1H OCEAN,222100
-118.42,34.18,31,2887,646,1626,637,3.6745,<1H OCEAN,335500
-118.12,33.97,35,708,145,471,153,3.2,<1H OCEAN,197400
-117.98,33.94,36,4297,717,2038,700,5.2851,<1H OCEAN,258800
-118.64,34.22,25,2762,410,1166,439,6.8643,<1H OCEAN,333700
-118.26,34.15,6,3340,945,2315,846,2.8884,<1H OCEAN,252300
-118.19,33.92,35,915,241,1153,252,3.305,<1H OCEAN,115800
-118.46,34.05,21,3639,1002,1489,983,4.6197,<1H OCEAN,387500
-121.93,37.33,44,1449,291,676,282,3.575,<1H OCEAN,292200
-118.28,33.97,31,2017,566,2063,521,1.9219,<1H OCEAN,107000
-118.16,34.02,35,1734,493,2053,508,2.1442,<1H OCEAN,149200
-119.74,34.45,29,2526,388,1092,409,6.0597,<1H OCEAN,383100
-118.16,33.89,6,1655,536,1201,487,1.7344,<1H OCEAN,145800
-117.92,33.61,18,1538,425,425,288,5.3369,<1H OCEAN,312500
-117.91,34.09,20,4327,1037,2296,963,3.0441,<1H OCEAN,185400
-118.29,33.97,43,2660,672,2133,588,1.7734,<1H OCEAN,107300
-117.84,34.1,17,7836,1624,4419,1526,3.8465,<1H OCEAN,180700
-118.59,34.11,35,2396,472,1054,457,6.4504,<1H OCEAN,407000
-118.44,34.23,36,1730,387,1099,353,4.0368,<1H OCEAN,183100
-118.53,34.45,26,828,149,508,158,5.2374,<1H OCEAN,185500
-117.86,33.75,6,1565,599,3157,629,2.9271,<1H OCEAN,123200
-117.99,33.81,42,161,40,157,50,2.2,<1H OCEAN,153100
-118.12,34.04,35,1038,209,598,190,5.9214,<1H OCEAN,254900
-118.18,34.1,8,1116,267,435,235,4.9231,<1H OCEAN,230900
-118.27,33.86,29,2587,489,2115,475,3.7466,<1H OCEAN,168600
-118.26,34.02,48,1465,440,1859,400,1.3134,<1H OCEAN,96200
-118.42,34.09,40,3552,392,1024,370,15.0001,<1H OCEAN,500001
-118.28,33.94,32,1381,375,1268,354,1.1051,<1H OCEAN,94200
-118.56,34.22,35,1843,329,1041,317,4.4271,<1H OCEAN,205100
-117.59,33.66,4,1318,218,673,225,6.0722,<1H OCEAN,260800
-122.67,38.33,4,8072,1606,4323,1475,3.9518,<1H OCEAN,220300
-117.13,32.98,5,2276,311,1158,317,6.4321,<1H OCEAN,271900
-117.93,33.65,27,1283,406,1063,376,2.75,<1H OCEAN,275000
-118.36,34.12,26,3902,610,1468,632,8.5136,<1H OCEAN,500001
-121.96,37.25,19,1858,359,790,347,4.5156,<1H OCEAN,339300
-117.77,33.88,8,4874,627,2070,619,8.1117,<1H OCEAN,410200
-118.42,34.27,35,674,153,808,173,2.6667,<1H OCEAN,147800
-118.01,33.86,29,2307,452,1218,402,3.4306,<1H OCEAN,194200
-121.83,37.36,22,3936,860,3508,877,4.2312,<1H OCEAN,183800
-118.3,34.02,27,2190,626,1768,528,1.2446,<1H OCEAN,103800
-117.02,32.76,15,1204,326,543,326,1.0278,<1H OCEAN,154200
-117.75,33.64,9,2499,492,1111,542,5.5342,<1H OCEAN,182300
-120.72,35.63,31,3476,644,1476,567,3.3472,<1H OCEAN,195200
-118.25,34.15,32,1377,444,768,422,2.2621,<1H OCEAN,187500
-116.91,32.78,15,4058,511,1580,473,7.5,<1H OCEAN,316400
-117.97,34,28,1983,375,1407,367,3.8319,<1H OCEAN,179000
-121.81,37.23,19,2635,427,1497,410,6.3178,<1H OCEAN,248000
-118.1,33.81,36,1111,184,444,177,3.7031,<1H OCEAN,245300
-122.79,38.48,7,6837,,3468,1405,3.1662,<1H OCEAN,191000
-121.85,37.33,19,735,158,597,134,4.5208,<1H OCEAN,188100
-119.72,34.44,43,1781,342,663,358,4.7,<1H OCEAN,293800
-116.92,32.77,16,2770,406,1269,429,6.6783,<1H OCEAN,275000
-118.17,33.84,45,1533,331,791,335,3.4605,<1H OCEAN,186600
-121.67,36.58,11,5892,837,2327,812,6.1551,<1H OCEAN,291800
-118.08,33.92,34,2118,437,1414,442,3.7238,<1H OCEAN,166800
-118.29,34.06,42,3894,2293,6846,2156,1.5553,<1H OCEAN,70000
-118.34,33.92,29,1475,349,965,370,3.3558,<1H OCEAN,199600
-117.27,33.2,23,2145,379,1360,404,4.2054,<1H OCEAN,150700
-118.27,33.82,33,1596,337,1650,329,4.3687,<1H OCEAN,173500
-119.72,34.47,34,3262,533,1265,502,5.8411,<1H OCEAN,381800
-117.93,33.87,29,1221,371,1822,326,1.7935,<1H OCEAN,162500
-118.37,34.22,11,2127,581,1989,530,2.9028,<1H OCEAN,174100
-121.88,37.46,5,1819,245,802,228,10.9722,<1H OCEAN,500001
-121.89,36.63,20,1834,554,971,514,3.0383,<1H OCEAN,217300
-118.19,34.21,41,1602,228,680,225,6.553,<1H OCEAN,500001
-121.76,37.3,6,3526,559,1378,491,6.1463,<1H OCEAN,335500
-118.03,33.91,35,2323,406,1741,398,4.2437,<1H OCEAN,164100
-117.76,33.71,15,1010,350,470,342,3.2229,<1H OCEAN,108300
-118.12,33.87,21,3764,1081,1919,977,2.5057,<1H OCEAN,156300
-117.88,33.92,13,3292,727,1565,698,5.457,<1H OCEAN,308800
-118.37,33.93,46,1130,201,503,196,4.4861,<1H OCEAN,246300
-118.36,33.96,25,1849,518,1498,451,2.8378,<1H OCEAN,170000
-118.74,34.28,21,4056,637,1974,634,5.9024,<1H OCEAN,221000
-118.27,34.25,39,699,150,358,143,4.4375,<1H OCEAN,195800
-122.12,37.28,21,349,64,149,56,5.8691,<1H OCEAN,360000
-118.17,34.12,37,2246,481,995,459,4.2944,<1H OCEAN,354700
-118.31,34.07,28,2362,949,2759,894,2.2364,<1H OCEAN,305600
-118.26,33.89,36,923,165,603,191,3.5687,<1H OCEAN,120700
-118.75,34.27,25,3371,502,1717,506,6.1253,<1H OCEAN,225000
-118.22,33.9,40,1802,496,2096,468,2.3542,<1H OCEAN,97900
-121.89,37.33,42,1279,358,1254,340,2.2583,<1H OCEAN,192500
-121.81,37.38,29,570,76,244,72,12.3292,<1H OCEAN,416700
-117.24,33.36,11,2786,480,1250,450,4.5,<1H OCEAN,222600
-118.45,34.27,35,1579,300,1012,265,5.1296,<1H OCEAN,195900
-118.35,34.05,47,2815,679,1533,594,2.5806,<1H OCEAN,234100
-118.33,33.87,36,2219,406,1219,403,4.2614,<1H OCEAN,267100
-118.25,33.98,47,617,162,754,144,2.2969,<1H OCEAN,116700
-117.95,33.68,27,1732,303,1115,308,5.5312,<1H OCEAN,239200
-118.29,33.84,23,3626,799,2321,731,4.7393,<1H OCEAN,237900
-118.48,34,41,2584,743,1058,668,3.2061,<1H OCEAN,370000
-117.94,33.62,28,1765,390,832,349,6.5928,<1H OCEAN,439100
-121.92,37.34,35,357,120,377,99,3.0139,<1H OCEAN,204200
-118.8,34.27,12,3330,600,1577,584,4.6985,<1H OCEAN,264100
-122.72,38.35,16,3049,609,1675,618,2.4117,<1H OCEAN,162500
-117.67,33.63,9,5774,1320,3086,1265,4.4063,<1H OCEAN,202200
-117.27,33.55,4,6112,890,2088,712,5.5351,<1H OCEAN,429000
-118.94,34.18,25,3502,508,1713,508,5.5181,<1H OCEAN,242100
-117.89,33.92,14,1562,373,609,328,2.3935,<1H OCEAN,125000
-117.71,33.51,11,2198,252,883,281,13.1477,<1H OCEAN,487000
-117.09,33.13,9,5685,1442,3773,1250,3.0426,<1H OCEAN,129900
-118.13,33.81,36,1749,322,855,319,4.6473,<1H OCEAN,227100
-118.48,34,29,1727,479,741,431,3.6121,<1H OCEAN,500000
-118.1,33.91,29,505,113,411,113,2.6397,<1H OCEAN,164400
-118.21,33.95,43,1500,419,1726,440,1.8641,<1H OCEAN,165100
-118.25,33.93,42,657,147,526,132,2.5,<1H OCEAN,110200
-118.13,34.08,40,1931,449,1367,446,2.575,<1H OCEAN,228400
-123.36,39.41,46,1748,362,808,330,2.9183,<1H OCEAN,76900
-118.27,33.95,34,1261,315,1027,303,2.2946,<1H OCEAN,88800
-122.7,38.45,26,2011,557,855,530,1.125,<1H OCEAN,233300
-118.14,34.17,52,2687,600,1716,544,2.7201,<1H OCEAN,205700
-118.14,34.1,27,4073,1013,2411,933,3.108,<1H OCEAN,231000
-118.19,34.03,27,1346,340,1177,295,1.7995,<1H OCEAN,153400
-121.83,37.31,19,11181,1895,7817,1853,5.6058,<1H OCEAN,232700
-118.36,33.98,46,1425,283,782,273,5.057,<1H OCEAN,246300
-121.75,36.92,46,1362,321,1068,305,2.4615,<1H OCEAN,177800
-118.3,33.9,27,3267,762,2099,647,3.4,<1H OCEAN,224100
-118.28,34.04,19,460,241,890,229,1.6089,<1H OCEAN,162500
-118.11,34.08,30,2350,472,945,467,3.3421,<1H OCEAN,201000
-118.36,33.84,35,1577,279,743,274,5.7654,<1H OCEAN,343000
-118.22,33.97,47,1058,295,1097,274,2.881,<1H OCEAN,183300
-117.87,33.61,25,2267,359,866,348,7.79,<1H OCEAN,500001
-118.03,34.06,31,1513,389,1396,364,2.4706,<1H OCEAN,170600
-118.39,34.06,52,1213,194,503,194,8.0095,<1H OCEAN,500001
-118.42,34.25,36,1430,331,1502,312,3.6292,<1H OCEAN,145200
-118.42,34.08,46,1399,148,410,152,15.0001,<1H OCEAN,500001
-118.32,33.96,47,1453,247,721,276,5.5176,<1H OCEAN,191000
-118.57,34.21,36,878,167,499,179,4.1181,<1H OCEAN,190400
-118.38,34.14,40,1965,354,666,357,6.0876,<1H OCEAN,483800
-118.81,34.25,4,9147,1827,3950,1661,5.716,<1H OCEAN,320800
-118.4,33.87,34,3145,786,1352,727,5.0976,<1H OCEAN,469800
-121.82,37.38,32,1650,246,768,263,6.8462,<1H OCEAN,320900
-118.25,34.01,31,1301,403,1952,377,2.1466,<1H OCEAN,100800
-118.42,34.28,29,1271,272,1338,266,4.125,<1H OCEAN,150000
-118.32,33.9,36,1520,300,831,291,4.0473,<1H OCEAN,212100
-120.43,34.88,22,2580,381,1149,372,5.0113,<1H OCEAN,158600
-121.9,37.3,52,1456,269,582,277,5.036,<1H OCEAN,296600
-116.86,32.87,17,5799,921,2630,843,5.0524,<1H OCEAN,285400
-117.79,33.88,17,8562,1351,3822,1316,6.0829,<1H OCEAN,252600
-118.16,34.15,19,1721,290,571,278,6.6031,<1H OCEAN,500001
-118.44,34.15,37,1335,286,539,279,3.2813,<1H OCEAN,301700
-118.05,33.9,41,550,129,642,125,1.875,<1H OCEAN,119900
-121.93,37.31,29,1377,430,969,399,2.6573,<1H OCEAN,252800
-118.28,33.98,47,865,193,782,217,2.2411,<1H OCEAN,93000
-118.3,34.1,29,3403,1367,3432,1174,1.7083,<1H OCEAN,166700
-117.97,33.76,18,1862,399,1301,369,3.1771,<1H OCEAN,194000
-121.85,37.39,15,8748,1547,4784,1524,5.8322,<1H OCEAN,276600
-118.22,34.08,34,1709,562,2105,503,1.9704,<1H OCEAN,152100
-118.4,34.15,44,2515,510,967,484,5.0754,<1H OCEAN,374500
-118.3,34.16,40,1875,460,869,438,3.2321,<1H OCEAN,243600
-118.22,34.19,36,2443,492,1115,493,3.9777,<1H OCEAN,409800
-118.29,34.07,22,492,269,634,261,1.6406,<1H OCEAN,300000
-118.12,33.94,35,1813,313,825,316,5.2485,<1H OCEAN,323800
-118.28,33.95,40,2044,538,2150,524,2.1437,<1H OCEAN,94800
-118.02,33.8,24,84,14,32,8,5.875,<1H OCEAN,193800
-118.14,33.97,31,2064,612,2461,573,2.0524,<1H OCEAN,160800
-121.77,37.24,12,10236,1878,5674,1816,4.747,<1H OCEAN,261100
-117.27,33.21,5,5764,996,3161,1012,4.4531,<1H OCEAN,177500
-117.03,32.96,16,3424,698,1940,645,4.121,<1H OCEAN,182100
-118.31,33.81,30,1773,356,905,352,4.3056,<1H OCEAN,336000
-117.1,32.83,16,4214,744,1820,699,4.3783,<1H OCEAN,179500
-118.46,34.03,27,1965,631,1042,596,2.75,<1H OCEAN,327300
-118.26,34.12,45,2839,698,1768,653,3.1306,<1H OCEAN,214000
-118.29,34.03,22,3313,1235,2381,1063,0.7473,<1H OCEAN,168800
-118.05,33.92,33,1999,470,2170,466,3.2371,<1H OCEAN,154700
-118,33.9,35,1942,332,1127,325,4.5144,<1H OCEAN,206300
-118.18,33.87,38,2664,626,1627,604,3.7527,<1H OCEAN,161900
-118.2,34.02,42,498,120,548,119,3.7543,<1H OCEAN,126600
-118.33,34.18,45,2570,517,1256,510,4.6898,<1H OCEAN,226000
-118.22,33.89,26,266,75,252,59,2.1211,<1H OCEAN,138100
-117.92,34.03,32,1819,375,1728,375,3.975,<1H OCEAN,162400
-118.87,34.19,23,2179,423,1338,406,5.5224,<1H OCEAN,240700
-118.21,34.07,31,1077,300,1198,274,2.1333,<1H OCEAN,160200
-118.3,34.18,5,5492,1549,2997,1405,3.3205,<1H OCEAN,172100
-121.95,37.52,33,3994,764,2721,763,5.2308,<1H OCEAN,196900
-117.97,33.68,16,4508,598,2221,623,7.3731,<1H OCEAN,390800
-120.42,34.95,33,3404,711,1579,639,3.1078,<1H OCEAN,146700
-118.38,33.88,36,2501,443,1031,422,4.75,<1H OCEAN,442100
-118.38,34.18,24,1983,651,2251,574,2.4792,<1H OCEAN,200000
-118.2,33.94,44,1413,298,1200,307,3.5125,<1H OCEAN,169300
-118.41,33.89,38,4166,828,1600,770,6.3861,<1H OCEAN,500001
-118.31,33.9,28,1576,400,891,378,2.6312,<1H OCEAN,171300
-117.07,33.15,17,1893,297,936,287,5.1842,<1H OCEAN,157700
-118.27,34.09,52,1079,222,439,201,4.625,<1H OCEAN,230800
