date,rate,prev_rate,change_bps,direction,days_since_prev,era,event,event_category,pm,party,chancellor,governor,boe_independent
1996-06-06,5.69,5.94,-25,Cut,90,Post-ERM Inflation Targeting,,,John Major,Conservative,Kenneth Clarke,Eddie George,false
1996-10-30,5.94,5.69,25,Hike,146,Post-ERM Inflation Targeting,,,John Major,Conservative,Kenneth Clarke,Eddie George,false
1997-05-06,6.25,5.94,31,Hike,188,BoE Independence & Dotcom Bubble,Bank of England granted independence,Policy Regime Change,Tony Blair,Labour,Gordon Brown,Eddie George,true
1997-06-06,6.50,6.25,25,Hike,31,BoE Independence & Dotcom Bubble,,,Tony Blair,Labour,Gordon Brown,Eddie George,true
1997-07-10,6.75,6.50,25,Hike,34,BoE Independence & Dotcom Bubble,,,Tony Blair,Labour,Gordon Brown,Eddie George,true
1997-08-07,7.00,6.75,25,Hike,28,BoE Independence & Dotcom Bubble,,,Tony Blair,Labour,Gordon Brown,Eddie George,true
1997-11-06,7.25,7.00,25,Hike,91,BoE Independence & Dotcom Bubble,,,Tony Blair,Labour,Gordon Brown,Eddie George,true
1998-06-04,7.50,7.25,25,Hike,210,BoE Independence & Dotcom Bubble,,,Tony Blair,Labour,Gordon Brown,Eddie George,true
1998-10-08,7.25,7.50,-25,Cut,126,BoE Independence & Dotcom Bubble,LTCM collapse & Russian default,Financial Crisis,Tony Blair,Labour,Gordon Brown,Eddie George,true
1998-11-05,6.75,7.25,-50,Cut,28,BoE Independence & Dotcom Bubble,,,Tony Blair,Labour,Gordon Brown,Eddie George,true
1998-12-10,6.25,6.75,-50,Cut,35,BoE Independence & Dotcom Bubble,,,Tony Blair,Labour,Gordon Brown,Eddie George,true
1999-01-07,6.00,6.25,-25,Cut,28,BoE Independence & Dotcom Bubble,,,Tony Blair,Labour,Gordon Brown,Eddie George,true
1999-02-04,5.50,6.00,-50,Cut,28,BoE Independence & Dotcom Bubble,,,Tony Blair,Labour,Gordon Brown,Eddie George,true
1999-04-08,5.25,5.50,-25,Cut,63,BoE Independence & Dotcom Bubble,,,Tony Blair,Labour,Gordon Brown,Eddie George,true
1999-06-10,5.00,5.25,-25,Cut,63,BoE Independence & Dotcom Bubble,Dotcom bubble inflating,Asset Bubble,Tony Blair,Labour,Gordon Brown,Eddie George,true
1999-09-08,5.25,5.00,25,Hike,90,BoE Independence & Dotcom Bubble,,,Tony Blair,Labour,Gordon Brown,Eddie George,true
1999-11-04,5.50,5.25,25,Hike,57,BoE Independence & Dotcom Bubble,,,Tony Blair,Labour,Gordon Brown,Eddie George,true
2000-01-13,5.75,5.50,25,Hike,70,BoE Independence & Dotcom Bubble,,,Tony Blair,Labour,Gordon Brown,Eddie George,true
2000-02-10,6.00,5.75,25,Hike,28,BoE Independence & Dotcom Bubble,Peak rate weeks before Nasdaq tops out,Asset Bubble,Tony Blair,Labour,Gordon Brown,Eddie George,true
2001-02-08,5.75,6.00,-25,Cut,364,Dotcom Bust,,,Tony Blair,Labour,Gordon Brown,Eddie George,true
2001-04-05,5.50,5.75,-25,Cut,56,Dotcom Bust,,,Tony Blair,Labour,Gordon Brown,Eddie George,true
2001-05-10,5.25,5.50,-25,Cut,35,Dotcom Bust,,,Tony Blair,Labour,Gordon Brown,Eddie George,true
2001-08-02,5.00,5.25,-25,Cut,84,Dotcom Bust,,,Tony Blair,Labour,Gordon Brown,Eddie George,true
2001-09-18,4.75,5.00,-25,Cut,47,Dotcom Bust,Emergency coordinated cut after 9/11,Geopolitical Shock,Tony Blair,Labour,Gordon Brown,Eddie George,true
2001-10-04,4.50,4.75,-25,Cut,16,Dotcom Bust,,,Tony Blair,Labour,Gordon Brown,Eddie George,true
2001-11-08,4.00,4.50,-50,Cut,35,Dotcom Bust,,,Tony Blair,Labour,Gordon Brown,Eddie George,true
2003-02-06,3.75,4.00,-25,Cut,455,Dotcom Bust,,,Tony Blair,Labour,Gordon Brown,Eddie George,true
2003-07-10,3.50,3.75,-25,Cut,154,Great Moderation & Credit Boom,48-year low - dotcom bust trough,Recession,Tony Blair,Labour,Gordon Brown,Mervyn King,true
2003-11-06,3.75,3.50,25,Hike,119,Great Moderation & Credit Boom,,,Tony Blair,Labour,Gordon Brown,Mervyn King,true
2004-02-05,4.00,3.75,25,Hike,91,Great Moderation & Credit Boom,,,Tony Blair,Labour,Gordon Brown,Mervyn King,true
2004-05-06,4.25,4.00,25,Hike,91,Great Moderation & Credit Boom,,,Tony Blair,Labour,Gordon Brown,Mervyn King,true
2004-06-10,4.50,4.25,25,Hike,35,Great Moderation & Credit Boom,,,Tony Blair,Labour,Gordon Brown,Mervyn King,true
2004-08-05,4.75,4.50,25,Hike,56,Great Moderation & Credit Boom,,,Tony Blair,Labour,Gordon Brown,Mervyn King,true
2005-08-04,4.50,4.75,-25,Cut,364,Great Moderation & Credit Boom,,,Tony Blair,Labour,Gordon Brown,Mervyn King,true
2006-08-03,4.75,4.50,25,Hike,364,Great Moderation & Credit Boom,,,Tony Blair,Labour,Gordon Brown,Mervyn King,true
2006-11-09,5.00,4.75,25,Hike,98,Great Moderation & Credit Boom,,,Tony Blair,Labour,Gordon Brown,Mervyn King,true
2007-01-11,5.25,5.00,25,Hike,63,Great Moderation & Credit Boom,,,Tony Blair,Labour,Gordon Brown,Mervyn King,true
2007-05-10,5.50,5.25,25,Hike,119,Great Moderation & Credit Boom,,,Tony Blair,Labour,Gordon Brown,Mervyn King,true
2007-07-05,5.75,5.50,25,Hike,56,Great Moderation & Credit Boom,,,Gordon Brown,Labour,Alistair Darling,Mervyn King,true
2007-12-06,5.50,5.75,-25,Cut,154,Global Financial Crisis,First cut of the credit crunch,Financial Crisis,Gordon Brown,Labour,Alistair Darling,Mervyn King,true
2008-02-07,5.25,5.50,-25,Cut,63,Global Financial Crisis,,,Gordon Brown,Labour,Alistair Darling,Mervyn King,true
2008-04-10,5.00,5.25,-25,Cut,63,Global Financial Crisis,,,Gordon Brown,Labour,Alistair Darling,Mervyn King,true
2008-10-08,4.50,5.00,-50,Cut,181,Global Financial Crisis,Coordinated global emergency cut,Financial Crisis,Gordon Brown,Labour,Alistair Darling,Mervyn King,true
2008-11-06,3.00,4.50,-150,Cut,29,Global Financial Crisis,150bp cut - largest since 1981,Financial Crisis,Gordon Brown,Labour,Alistair Darling,Mervyn King,true
2008-12-04,2.00,3.00,-100,Cut,28,Global Financial Crisis,,,Gordon Brown,Labour,Alistair Darling,Mervyn King,true
2009-01-08,1.50,2.00,-50,Cut,35,Global Financial Crisis,,,Gordon Brown,Labour,Alistair Darling,Mervyn King,true
2009-02-05,1.00,1.50,-50,Cut,28,Global Financial Crisis,,,Gordon Brown,Labour,Alistair Darling,Mervyn King,true
2009-03-05,0.50,1.00,-50,Cut,28,ZIRP & Quantitative Easing,Record low 0.5% and QE launched,Quantitative Easing,Gordon Brown,Labour,Alistair Darling,Mervyn King,true
2016-08-04,0.25,0.50,-25,Cut,2709,Brexit Era,Post-Brexit-referendum cut,Brexit,Theresa May,Conservative,Philip Hammond,Mark Carney,true
2017-11-02,0.50,0.25,25,Hike,455,Brexit Era,First hike in over ten years,Normalisation,Theresa May,Conservative,Philip Hammond,Mark Carney,true
2018-08-02,0.75,0.50,25,Hike,273,Brexit Era,,,Theresa May,Conservative,Philip Hammond,Mark Carney,true
2020-03-11,0.25,0.75,-50,Cut,587,COVID-19 Pandemic,COVID-19 emergency cut,Pandemic,Boris Johnson,Conservative,Rishi Sunak,Mark Carney,true
2020-03-19,0.10,0.25,-15,Cut,8,COVID-19 Pandemic,Record low 0.1% as lockdown begins,Pandemic,Boris Johnson,Conservative,Rishi Sunak,Andrew Bailey,true
2021-12-16,0.25,0.10,15,Hike,637,Inflation Shock,First hike of the inflation cycle,Inflation Shock,Boris Johnson,Conservative,Rishi Sunak,Andrew Bailey,true
2022-02-03,0.50,0.25,25,Hike,49,Inflation Shock,,,Boris Johnson,Conservative,Rishi Sunak,Andrew Bailey,true
2022-03-17,0.75,0.50,25,Hike,42,Inflation Shock,,,Boris Johnson,Conservative,Rishi Sunak,Andrew Bailey,true
2022-05-05,1.00,0.75,25,Hike,49,Inflation Shock,,,Boris Johnson,Conservative,Rishi Sunak,Andrew Bailey,true
2022-06-16,1.25,1.00,25,Hike,42,Inflation Shock,,,Boris Johnson,Conservative,Rishi Sunak,Andrew Bailey,true
2022-08-04,1.75,1.25,50,Hike,49,Inflation Shock,,,Boris Johnson,Conservative,Nadhim Zahawi,Andrew Bailey,true
2022-09-22,2.25,1.75,50,Hike,49,Inflation Shock,Day before the Truss mini-Budget,Fiscal Crisis,Liz Truss,Conservative,Kwasi Kwarteng,Andrew Bailey,true
2022-11-03,3.00,2.25,75,Hike,42,Inflation Shock,75bp - biggest hike in 33 years,Inflation Shock,Rishi Sunak,Conservative,Jeremy Hunt,Andrew Bailey,true
2022-12-15,3.50,3.00,50,Hike,42,Inflation Shock,,,Rishi Sunak,Conservative,Jeremy Hunt,Andrew Bailey,true
2023-02-02,4.00,3.50,50,Hike,49,Inflation Shock,,,Rishi Sunak,Conservative,Jeremy Hunt,Andrew Bailey,true
2023-03-23,4.25,4.00,25,Hike,49,Inflation Shock,,,Rishi Sunak,Conservative,Jeremy Hunt,Andrew Bailey,true
2023-05-11,4.50,4.25,25,Hike,49,Inflation Shock,,,Rishi Sunak,Conservative,Jeremy Hunt,Andrew Bailey,true
2023-06-22,5.00,4.50,50,Hike,42,Inflation Shock,,,Rishi Sunak,Conservative,Jeremy Hunt,Andrew Bailey,true
2023-08-03,5.25,5.00,25,Hike,42,Disinflation & Easing Cycle,Peak of the tightening cycle,Inflation Shock,Rishi Sunak,Conservative,Jeremy Hunt,Andrew Bailey,true
2024-08-01,5.00,5.25,-25,Cut,364,Disinflation & Easing Cycle,First cut of the easing cycle,Disinflation,Keir Starmer,Labour,Rachel Reeves,Andrew Bailey,true
2024-11-07,4.75,5.00,-25,Cut,98,Disinflation & Easing Cycle,,,Keir Starmer,Labour,Rachel Reeves,Andrew Bailey,true
2025-02-06,4.50,4.75,-25,Cut,91,Disinflation & Easing Cycle,,,Keir Starmer,Labour,Rachel Reeves,Andrew Bailey,true
2025-05-08,4.25,4.50,-25,Cut,91,Disinflation & Easing Cycle,,,Keir Starmer,Labour,Rachel Reeves,Andrew Bailey,true
2025-08-07,4.00,4.25,-25,Cut,91,Disinflation & Easing Cycle,,,Keir Starmer,Labour,Rachel Reeves,Andrew Bailey,true
2025-12-18,3.75,4.00,-25,Cut,133,Disinflation & Easing Cycle,,,Keir Starmer,Labour,Rachel Reeves,Andrew Bailey,true
